11,WARRANTS,-122.4258917,37.7745986
11,OTHER OFFENSES,-122.4258917,37.7745986
11,OTHER OFFENSES,-122.424363,37.80041432
11,LARCENY/THEFT,-122.4269953,37.80087263
11,LARCENY/THEFT,-122.4387376,37.77154117
11,LARCENY/THEFT,-122.4032524,37.7134307
11,VEHICLE THEFT,-122.423327,37.72513804
11,VEHICLE THEFT,-122.3712743,37.72756407
11,LARCENY/THEFT,-122.508194,37.77660126
11,LARCENY/THEFT,-122.4190877,37.80780155
10,LARCENY/THEFT,-122.4190877,37.80780155
10,OTHER OFFENSES,-122.4879831,37.73766665
10,VANDALISM,-122.4124143,37.7830038
10,LARCENY/THEFT,-122.4329146,37.78435334
10,NON-CRIMINAL,-122.3977444,37.72993469
10,NON-CRIMINAL,-122.3836915,37.74318904
10,ROBBERY,-122.4125974,37.78393203
9,ASSAULT,-122.4216815,37.7428222
9,OTHER OFFENSES,-122.3864009,37.73898349
9,NON-CRIMINAL,-122.4122498,37.78255633
9,LARCENY/THEFT,-122.4493891,37.7426688
9,ROBBERY,-122.4202721,37.74733163
9,WARRANTS,-122.4122498,37.78255633
9,NON-CRIMINAL,-122.4122498,37.78255633
9,LARCENY/THEFT,-122.4360492,37.79984122
9,NON-CRIMINAL,-122.4105093,37.78604322
9,LARCENY/THEFT,-122.4310176,37.78738807
9,LARCENY/THEFT,-122.4236563,37.73255649
9,LARCENY/THEFT,-122.4757735,37.74491907
8,OTHER OFFENSES,-122.4997871,37.7485176
8,LARCENY/THEFT,-122.4310464,37.78302957
8,NON-CRIMINAL,-122.4351501,37.76175972
8,VANDALISM,-122.4327438,37.78384245
8,LARCENY/THEFT,-122.4313095,37.78587063
8,VANDALISM,-122.4313095,37.78587063
8,LARCENY/THEFT,-122.3918456,37.77812478
8,LARCENY/THEFT,-122.4318307,37.7956417
8,LARCENY/THEFT,-122.4305518,37.78932277
8,WEAPON LAWS,-122.473182,37.72156474
8,VANDALISM,-122.4324465,37.71083265
8,NON-CRIMINAL,-122.4052948,37.78630722
8,LARCENY/THEFT,-122.4221276,37.77303302
8,LARCENY/THEFT,-122.4063518,37.78603116
8,OTHER OFFENSES,-122.3994437,37.73017602
8,OTHER OFFENSES,-122.3994437,37.73017602
8,OTHER OFFENSES,-122.415212,37.78887145
